,Dwelling Type,Dwelling Type,Dwelling Type,Dwelling Type,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition
,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household
Postcode,,,,,,,,,,,,,,,,,
0800,43,5,5948,3,172,1856,3749,2805,168,12,6,2874,1181,395,134,3420,910
0810,22676,2704,5969,84,207,1768,8552,9360,5484,1260,311,6553,8881,2893,425,6996,1737
0812,14511,1087,1525,121,67,448,3389,6590,2353,543,95,3237,4486,2032,204,3249,592
0820,7317,3466,7171,96,167,1463,7566,7580,2372,592,168,5792,4755,1644,220,5987,1843
0822,20976,1426,194,426,216,873,3083,4392,1811,344,183,2456,4369,1989,404,1921,268
0828,825,353,16,81,22,84,74,486,167,32,28,252,379,101,26,193,42
0829,89,3,0,131,32,90,12,36,29,10,0,103,44,11,0,119,0
0830,13738,901,1810,15,25,805,2765,6391,2944,436,90,3080,4275,2193,157,3537,566
0832,13981,1539,1764,0,22,247,2404,6015,4406,444,52,3037,5361,1889,133,2748,604
0834,1660,0,0,49,21,81,130,427,295,138,36,369,436,108,10,227,44
0835,2867,22,4,77,31,131,221,693,646,178,74,667,789,168,12,340,70
0836,6964,100,9,14,40,258,792,1782,1205,388,182,1392,1950,467,27,791,155
0837,345,0,0,25,23,33,60,83,60,16,0,82,72,39,0,101,0
0838,728,6,0,31,7,68,80,218,104,26,14,164,204,44,0,125,6
0839,58,111,184,78,19,131,243,122,51,0,0,161,75,76,8,267,14
0840,348,0,0,20,19,96,134,79,26,0,0,183,29,16,0,142,16
0841,525,0,0,0,21,58,92,141,88,10,10,130,114,28,12,143,18
0845,248,29,0,4,0,34,94,138,14,0,0,50,26,43,0,143,21
0846,211,0,0,29,14,44,45,66,23,6,8,82,30,15,0,73,18
0847,215,24,3,25,4,30,39,84,16,10,9,28,44,26,0,80,14
0850,5520,879,116,132,74,557,1014,2374,881,166,48,1389,1468,672,73,1479,333
0852,6038,626,192,286,121,375,735,1484,377,90,52,701,1250,587,98,747,101
0853,604,0,0,0,0,0,0,286,112,8,0,140,224,10,0,36,0
0854,550,66,7,39,19,37,136,144,46,0,0,79,131,83,10,95,5
0860,2358,169,95,54,22,336,414,965,202,16,6,397,468,280,50,782,94
0862,447,7,0,24,8,26,50,113,62,22,6,77,81,54,0,82,0
0870,13217,4386,440,113,162,1530,4553,6466,2725,482,106,3884,4623,1951,232,4772,994
0872,11603,602,179,247,155,1198,1380,3006,772,90,45,1275,2144,1122,268,2058,120
0873,1734,171,59,178,82,367,340,458,360,81,40,499,492,246,27,557,53
0874,157,195,124,12,101,67,60,269,66,18,5,154,156,16,4,278,8
0875,1802,515,0,0,0,99,540,942,278,44,16,415,560,301,39,547,93
0880,3497,277,88,18,0,182,432,1425,339,27,0,497,1056,284,38,528,61
0885,547,34,13,0,0,3,133,303,6,0,0,120,203,15,0,119,6
0886,425,113,54,42,15,128,109,264,56,0,0,166,110,73,0,250,20
2000,61,521,23920,29,1617,11443,16020,4182,364,47,39,11699,3150,1378,872,12074,5206
2007,5,808,5230,32,325,2827,3503,1197,260,62,61,2385,918,451,223,3198,1582
2008,95,2437,5882,74,1581,5261,4001,1602,691,135,69,3770,859,403,329,5863,2369
2009,4,719,10722,9,194,3999,8526,3523,194,28,18,5524,2656,1149,242,5514,1612
2010,315,7403,14780,150,2981,14919,13825,4950,1499,405,183,11399,2742,1229,374,19202,4301
2011,82,1720,13161,93,4492,12426,9559,2748,387,92,48,7557,1438,930,155,18292,1765
2015,772,3751,6067,83,233,4228,6509,3204,966,103,22,5074,2519,808,164,5294,1573
2016,205,4118,6750,133,559,4270,7506,3594,940,167,97,4830,1995,782,241,7444,2262
2017,130,2485,24119,42,952,11975,22809,5183,563,48,36,13756,4319,2071,699,15504,5861
2018,5937,863,11867,134,109,3691,11457,4905,1397,367,101,6427,5322,1832,399,6569,1860
2019,4094,2873,5556,92,151,2106,5214,4179,1320,302,78,3299,4718,1391,189,3433,471
2020,5164,886,14281,78,47,4299,10839,5442,1178,325,101,7375,5060,1421,665,5001,3070
2021,1223,8181,3967,98,1175,3606,5862,5826,2229,328,100,5077,3716,1208,164,7540,1566
2022,1945,3997,5873,487,437,3193,5642,4118,1628,385,101,4620,3530,1114,161,5225,1349
2023,4420,456,4993,28,65,921,4009,3092,1448,873,259,3108,2982,819,112,2992,764
2024,3429,2567,4066,105,200,1480,4754,2410,1777,569,78,2941,3436,858,100,3385,855
2025,1485,2241,2697,22,68,1160,3155,2427,1136,305,51,2298,1859,682,109,2893,555
2026,4141,6174,19340,183,1025,6896,19135,7525,3337,810,176,10732,8321,2330,372,12554,5198
2027,922,922,5095,0,157,1698,4063,3320,613,227,114,3423,1581,699,74,4015,598
2028,795,484,3049,27,11,498,3019,1883,400,145,31,1773,1096,441,79,2133,539
2029,2541,968,5521,126,107,1305,4837,3131,1172,356,89,3151,2852,1057,90,3495,526
2030,8367,1314,3500,197,25,589,3532,3035,2763,1456,378,3069,4725,1038,90,2820,272
2031,6434,6464,17337,517,257,5438,19597,7986,3636,1031,248,10559,9710,2943,495,11738,3263
2032,5553,2483,5366,89,323,1840,5788,4222,1601,633,232,2994,3644,1345,304,4700,1880
2033,2832,876,6083,12,192,2104,5802,2317,969,456,118,3324,2602,903,233,3843,1197
2034,4737,2678,11264,78,261,3052,10777,5753,2292,689,145,6342,5367,1782,266,7074,2471
2035,13806,7252,11591,178,458,3969,13504,9937,4755,1720,451,8580,10420,3681,471,10232,1951
2036,13333,5636,11627,22,317,4183,10553,9599,4821,1303,368,7336,10311,3725,425,8531,1327
2037,897,7336,6503,174,953,5510,8220,4860,1745,354,130,5922,3315,1731,255,9043,1945
2038,2317,4415,1758,94,429,1703,3452,3353,1234,207,33,2771,2836,757,111,3423,611
2039,2365,3414,2227,108,134,1589,3601,3361,982,119,0,2999,2644,769,98,2990,429
2040,9952,6765,4528,86,333,2764,8763,7908,2527,398,53,5654,7053,2201,250,6504,1272
2041,3918,6869,3763,36,334,2429,6534,5559,2597,476,72,5278,4840,1344,143,5957,580
2042,1646,9885,4869,485,1503,4930,8571,5996,1932,346,132,6719,3710,1284,283,8572,3304
2043,364,3573,5136,32,156,3542,6853,2241,506,38,12,4890,2123,605,93,4386,1342
2044,3696,2776,1296,66,73,762,3321,2866,855,168,31,2525,2072,683,140,1874,841
2045,5178,682,272,29,0,186,815,1934,1491,327,56,1151,2033,490,45,1038,107
2046,14178,3185,8494,275,92,1984,11282,8730,3356,1065,192,7193,8488,2628,334,7683,775
2047,4374,1328,5412,113,22,881,5855,4377,1452,386,94,4065,3318,1165,161,3985,539
2048,1653,3260,1977,146,179,1721,2625,2755,1081,189,49,2399,1985,582,136,2757,899
2049,3409,2940,4475,241,535,3073,5224,3271,1331,252,65,3680,2972,1017,187,4915,1266
2050,337,2181,4962,45,655,4368,4598,1696,487,56,21,3615,1445,514,132,5058,1268
2060,1804,2708,9224,17,1130,5759,8227,4378,923,241,47,6563,3231,1125,228,8613,1129
2061,262,324,4839,6,434,2686,3804,1976,281,48,0,3106,933,457,84,4334,401
2062,2189,1096,3393,21,49,1464,3509,2395,668,210,38,2316,2121,736,84,2876,266
2063,4961,346,786,11,31,256,937,1299,1400,781,98,1260,2110,367,33,991,62
2064,2544,900,5549,13,51,910,6159,1764,796,260,55,2280,3510,922,142,2635,585
2065,7487,4101,18486,76,1025,9028,16372,9934,2533,717,136,12231,8766,2370,432,14021,2260
2066,16246,1920,13910,34,426,4629,13794,7727,4380,2190,400,8913,10984,2725,318,9675,1177
2067,9620,1197,14749,5,275,5124,10958,6142,2819,1013,287,6875,8746,2737,455,6681,1440
2068,12473,1526,2543,106,116,835,3579,4121,3568,1190,197,3245,5824,1467,139,2751,318
2069,11554,378,2165,14,32,554,2206,2837,3201,1672,292,2731,4918,954,91,1910,285
2070,9910,332,3907,11,167,839,2903,3256,2774,1619,308,2859,5132,1115,103,2554,206
2071,9367,203,3513,0,3,680,2491,2835,2569,1728,453,2581,4646,1185,120,2123,172
2072,4505,314,3451,213,6,1110,2558,2128,1346,693,130,2057,3127,993,64,1730,172
2073,14210,295,2204,15,8,616,1825,2987,4048,2245,457,3066,6044,1132,77,1847,166
2074,17832,889,3628,16,3,1031,3370,5271,5253,2687,510,4966,7580,1545,155,3801,222
2075,16463,1083,3573,0,10,622,3216,4393,5249,2596,557,4488,7494,1535,75,2991,156
2076,19823,1478,2496,0,38,846,2389,5819,5873,2650,586,4603,8320,1656,97,3394,266
2077,19156,1948,20119,56,338,4741,20099,9110,5135,1627,362,9944,15203,4171,556,10628,1282
2079,6706,279,726,10,8,339,839,1986,1901,558,85,1441,2668,568,60,944,85
2080,1648,64,6,0,0,17,89,421,474,142,24,315,563,129,0,184,6
2081,5072,209,21,0,12,36,189,1297,1519,487,71,927,1797,356,6,511,31
2082,5072,204,59,0,0,41,203,1602,1403,412,88,1005,1778,348,17,589,37
2083,1441,13,51,20,18,67,362,533,311,69,6,465,371,105,10,407,32
2084,3252,104,131,51,17,108,187,734,861,436,147,796,1091,177,8,416,46
2085,9874,606,465,0,42,256,801,2088,3438,1212,254,2138,3586,720,47,1617,70
2086,13106,473,273,4,66,225,392,3024,3647,1432,287,2053,4874,803,52,1185,125
2087,11662,696,405,3,32,838,854,2530,3243,1348,307,1962,4343,864,66,1939,81
2088,12192,3428,10652,203,206,5184,10427,7439,4519,2079,353,8783,8099,2281,243,10444,741
2089,1340,1344,7847,24,431,3516,6838,3788,702,163,33,4400,2702,1088,190,6287,948
