,Postcode,State,Latitude,Longitude,Remoteness Area
0,800,NT,-33.858556,151.180095,1
1,810,NT,-33.866044,151.133865,1
2,812,NT,-33.866044,151.133865,1
3,820,NT,-33.897219,151.15085,1
4,822,NT,-33.897219,151.15085,1
5,828,NT,-31.2532,146.921,4
6,829,NT,-33.802837,151.104935,1
7,830,NT,-33.839863,151.204557,1
8,832,NT,-33.839863,151.204557,1
9,834,NT,-33.839863,151.204557,1
10,835,NT,-33.839863,151.204557,1
11,836,NT,-33.839863,151.204557,1
12,837,NT,-33.848785,151.212372,1
13,838,NT,-33.848785,151.212372,1
14,839,NT,-33.822837,151.21246,1
15,840,NT,-33.812636,151.214797,1
16,841,NT,-33.813209,151.183801,1
17,845,NT,-33.828361,151.192212,1
18,846,NT,-33.828361,151.192212,1
19,847,NT,-33.828361,151.192212,1
20,850,NT,-33.818641,151.160912,1
21,852,NT,-33.818641,151.160912,1
22,853,NT,-33.818641,151.160912,1
23,854,NT,-33.818641,151.160912,1
24,860,NT,-33.800881,151.202715,1
25,862,NT,-33.79634382,151.1973964,1
26,870,NT,-33.78042,151.162007,1
27,872,NT,-33.75536381,151.1814551,1
28,873,NT,-33.761834,151.171738,1
29,874,NT,-33.754582,151.153176,1
30,875,NT,-33.757296,151.130278,1
31,880,NT,-33.735222,151.123716,1
32,885,NT,-33.723263,151.108249,1
33,886,NT,-33.6977144,151.1311234,1
34,2000,NSW,-31.735738,150.603274,3
35,2007,NSW,-31.333592,151.138322,3
36,2008,NSW,-31.333592,151.138322,2
37,2009,NSW,-31.333592,151.138322,3
38,2010,NSW,-31.333592,151.138322,2
39,2011,NSW,-31.333592,151.138322,3
40,2015,NSW,-31.333592,151.138322,2
41,2016,NSW,-31.42224232,150.9613571,3
42,2017,NSW,-31.333592,151.138322,2
43,2018,NSW,-31.333592,151.138322,3
44,2019,NSW,-31.333592,151.138322,3
45,2020,NSW,-31.333592,151.138322,2
46,2021,NSW,-31.333592,151.138322,3
47,2022,NSW,-31.333592,151.138322,2
48,2023,NSW,-31.333592,151.138322,3
49,2024,NSW,-31.333592,151.138322,2
50,2025,NSW,-31.333592,151.138322,2
51,2026,NSW,-31.333592,151.138322,2
52,2027,NSW,-31.333592,151.138322,2
53,2028,NSW,-31.333592,151.138322,2
54,2029,NSW,-31.333592,151.138322,3
55,2030,NSW,-31.333592,151.138322,3
56,2031,NSW,-31.333592,151.138322,2
57,2032,NSW,-31.333592,151.138322,2
58,2033,NSW,-31.333592,151.138322,3
59,2034,NSW,-31.11113844,150.9217762,2
60,2035,NSW,-31.333592,151.138322,2
61,2036,NSW,-31.333592,151.138322,2
62,2037,NSW,-31.333592,151.138322,2
63,2038,NSW,-31.333592,151.138322,3
64,2039,NSW,-31.333592,151.138322,2
65,2040,NSW,-31.333592,151.138322,2
66,2041,NSW,-31.333592,151.138322,3
67,2042,NSW,-31.333592,151.138322,2
68,2043,NSW,-31.333592,151.138322,2
69,2044,NSW,-31.333592,151.138322,3
70,2045,NSW,-31.34664,150.611053,3
71,2046,NSW,-31.155223,150.54907,3
72,2047,NSW,-31.155223,150.54907,3
73,2048,NSW,-31.505932,150.372784,3
74,2049,NSW,-31.50597769,150.6372026,3
75,2050,NSW,-31.505932,150.372784,3
76,2060,NSW,-31.505932,150.372784,3
77,2061,NSW,-31.505932,150.372784,3
78,2062,NSW,-31.66545698,150.1491418,3
79,2063,NSW,-31.17375,150.729574,2
80,2064,NSW,-31.17375,150.729574,3
81,2065,NSW,-30.864342,150.875031,3
82,2066,NSW,-30.864342,150.875031,3
83,2067,NSW,-30.60226666,150.5206378,3
84,2068,NSW,-30.627675,150.761923,3
85,2069,NSW,-30.627675,150.761923,3
86,2070,NSW,-30.627675,150.761923,3
87,2071,NSW,-30.59005394,150.8152056,3
88,2072,NSW,-30.74039865,150.6278623,3
89,2073,NSW,-30.81768151,150.6548008,3
90,2074,NSW,-30.627675,150.761923,3
91,2075,NSW,-30.50223813,150.9716354,3
92,2076,NSW,-30.69280149,150.6553399,3
93,2077,NSW,-30.72850361,150.518242,3
94,2079,NSW,-30.281899,150.523163,3
95,2080,NSW,-30.281899,150.523163,3
96,2081,NSW,-30.281899,150.523163,3
97,2082,NSW,-30.281899,150.523163,3
98,2083,NSW,-30.281899,150.523163,3
99,2084,NSW,-30.281899,150.523163,3
100,2085,NSW,-30.281899,150.523163,3
101,2086,NSW,-30.281899,150.523163,3
102,2087,NSW,-30.281899,150.523163,3
103,2088,NSW,-30.281899,150.523163,3
104,2089,NSW,-30.281899,150.523163,3
105,2090,NSW,-30.33223081,150.9072537,3
106,2092,NSW,-30.1814995,150.3586846,3
107,2093,NSW,-30.281899,150.523163,3
108,2094,NSW,-31.2532,146.921,4
109,2095,NSW,-30.493397,151.906153,3
110,2096,NSW,-30.493397,151.906153,3
111,2097,NSW,-30.493397,151.906153,2
112,2099,NSW,-30.493397,151.906153,2
113,2100,NSW,-30.49,151.641,2
114,2101,NSW,-30.5016,151.666,2
115,2102,NSW,-30.493397,151.906153,2
116,2103,NSW,-30.493397,151.906153,2
117,2104,NSW,-30.493397,151.906153,3
118,2105,NSW,-30.493397,151.906153,2
119,2106,NSW,-30.493397,151.906153,2
120,2107,NSW,-30.493397,151.906153,3
121,2108,NSW,-30.493397,151.906153,3
122,2110,NSW,-30.493397,151.906153,3
123,2111,NSW,-30.493397,151.906153,2
124,2112,NSW,-30.493397,151.906153,3
125,2113,NSW,-30.493397,151.906153,3
126,2114,NSW,-30.493397,151.906153,3
127,2115,NSW,-30.493397,151.906153,3
128,2116,NSW,-30.493397,151.906153,3
129,2117,NSW,-30.493397,151.906153,3
130,2118,NSW,-30.493397,151.906153,2
131,2119,NSW,-30.493397,151.906153,3
132,2120,NSW,-30.493397,151.906153,2
133,2121,NSW,-30.493397,151.906153,2
134,2122,NSW,-30.493397,151.906153,3
135,2125,NSW,-30.493397,151.906153,2
136,2126,NSW,-30.493397,151.906153,2
137,2127,NSW,-30.493397,151.906153,2
138,2128,NSW,-30.493397,151.906153,3
139,2130,NSW,-30.493397,151.906153,3
140,2131,NSW,-30.493397,151.906153,2
141,2132,NSW,-30.493397,151.906153,3
142,2133,NSW,-30.493397,151.906153,3
143,2134,NSW,-30.489129,151.639627,2
144,2135,NSW,-31.088119,151.246189,2
145,2136,NSW,-31.088119,151.246189,3
146,2137,NSW,-31.088119,151.246189,3
147,2138,NSW,-31.088119,151.246189,2
148,2140,NSW,-31.145898,151.762627,3
149,2141,NSW,-31.145898,151.762627,3
150,2142,NSW,-31.145898,151.762627,3
151,2143,NSW,-31.145898,151.762627,3
152,2144,NSW,-31.145898,151.762627,3
153,2145,NSW,-31.145898,151.762627,3
154,2146,NSW,-31.145898,151.762627,3
155,2147,NSW,-31.145898,151.762627,3
156,2148,NSW,-30.9268813,151.4210065,3
157,2150,NSW,-31.145898,151.762627,3
158,2151,NSW,-31.145898,151.762627,3
159,2152,NSW,-30.775229,151.154222,3
160,2153,NSW,-30.775229,151.154222,3
161,2154,NSW,-30.775229,151.154222,3
162,2155,NSW,-30.619798,148.96949,4
163,2156,NSW,-31.51588428,149.781025,3
164,2157,NSW,-31.45375337,149.5217496,3
165,2158,NSW,-31.193339,149.263874,3
166,2159,NSW,-31.193339,149.263874,3
167,2160,NSW,-31.06421377,149.3329545,3
168,2161,NSW,-31.42598894,149.0743258,3
169,2162,NSW,-31.193339,149.263874,3
170,2163,NSW,-31.193339,149.263874,3
171,2164,NSW,-31.35339341,149.1691616,3
172,2165,NSW,-31.193339,149.263874,3
173,2166,NSW,-31.44646535,149.2810155,3
174,2167,NSW,-31.193339,149.263874,3
175,2168,NSW,-30.540297,151.297519,3
176,2170,NSW,-30.540297,151.297519,3
177,2171,NSW,-30.540297,151.297519,3
178,2172,NSW,-30.540297,151.297519,3
179,2173,NSW,-30.540297,151.297519,3
180,2174,NSW,-30.540297,151.297519,3
181,2175,NSW,-30.540297,151.297519,3
182,2176,NSW,-30.540297,151.297519,3
183,2177,NSW,-30.540297,151.297519,2
184,2178,NSW,-30.540297,151.297519,3
185,2179,NSW,-30.3248214,150.9955739,3
186,2190,NSW,-29.630052,151.162025,3
187,2191,NSW,-29.630052,151.162025,3
188,2192,NSW,-29.630052,151.162025,3
189,2193,NSW,-29.630052,151.162025,3
190,2194,NSW,-29.630052,151.162025,3
191,2195,NSW,-29.630052,151.162025,3
192,2196,NSW,-29.630052,151.162025,3
193,2197,NSW,-29.630052,151.162025,3
194,2198,NSW,-29.630052,151.162025,3
195,2199,NSW,-29.630052,151.162025,3
196,2200,NSW,-29.630052,151.162025,3
197,2203,NSW,-29.630052,151.162025,3
198,2204,NSW,-29.630052,151.162025,3
199,2205,NSW,-29.630052,151.162025,3
200,2206,NSW,-29.630052,151.162025,3
201,2207,NSW,-29.66963849,151.1474963,3
202,2208,NSW,-29.74182058,151.314883,3
203,2209,NSW,-29.198493,151.141751,3
204,2210,NSW,-29.198493,151.141751,3
205,2211,NSW,-29.198493,151.141751,3
206,2212,NSW,-29.198493,151.141751,3
207,2213,NSW,-29.198493,151.141751,3
208,2214,NSW,-30.115913,151.673028,3
209,2216,NSW,-30.115913,151.673028,3
210,2217,NSW,-30.115913,151.673028,3
211,2218,NSW,-30.115913,151.673028,3
212,2219,NSW,-30.115913,151.673028,3
213,2220,NSW,-30.115913,151.673028,3
214,2221,NSW,-30.115913,151.673028,3
215,2222,NSW,-30.115913,151.673028,3
216,2223,NSW,-30.115913,151.673028,3
217,2224,NSW,-30.115913,151.673028,3
218,2225,NSW,-30.115913,151.673028,3
219,2226,NSW,-30.115913,151.673028,3
220,2227,NSW,-30.115913,151.673028,3
221,2228,NSW,-30.115913,151.673028,3
222,2229,NSW,-30.115913,151.673028,3
223,2230,NSW,-30.115913,151.673028,3
224,2231,NSW,-30.115913,151.673028,3
225,2232,NSW,-30.115913,151.673028,3
226,2233,NSW,-30.115913,151.673028,3
227,2234,NSW,-30.115913,151.673028,3
228,2250,NSW,-29.736171,151.869397,3
229,2251,NSW,-29.736171,151.869397,3
230,2256,NSW,-29.736171,151.869397,3
231,2257,NSW,-29.736171,151.869397,3
232,2258,NSW,-29.736171,151.869397,3
233,2259,NSW,-29.736171,151.869397,3
234,2260,NSW,-29.736171,151.869397,3
235,2261,NSW,-29.736171,151.869397,3
236,2262,NSW,-29.736171,151.869397,3
237,2263,NSW,-29.736171,151.869397,3
238,2264,NSW,-29.736171,151.869397,3
239,2265,NSW,-29.736171,151.869397,3
240,2267,NSW,-29.736171,151.869397,3
241,2278,NSW,-29.36625,151.814675,3
242,2280,NSW,-28.96166715,151.7288939,3
243,2281,NSW,-29.083319,151.999661,3
244,2282,NSW,-29.083319,151.999661,3
245,2283,NSW,-29.083319,151.999661,3
246,2284,NSW,-29.083319,151.999661,3
247,2285,NSW,-28.77766139,152.0684087,3
248,2286,NSW,-29.083319,151.999661,3
249,2287,NSW,-29.083319,151.999661,3
250,2289,NSW,-29.083319,151.999661,3
251,2290,NSW,-29.083319,151.999661,3
252,2291,NSW,-28.49040206,152.1551366,3
253,2292,NSW,-29.17228885,151.4848277,3
254,2293,NSW,-29.26059113,152.1353448,3
255,2294,NSW,-29.083319,151.999661,3
256,2295,NSW,-29.083319,151.999661,3
257,2296,NSW,-29.0306328,151.6360172,3
258,2297,NSW,-29.083319,151.999661,3
259,2298,NSW,-29.083319,151.999661,3
260,2299,NSW,-29.18550255,152.306808,3
261,2300,NSW,-29.083319,151.999661,3
262,2302,NSW,-29.083319,151.999661,3
263,2303,NSW,-29.083319,151.999661,3
264,2304,NSW,-29.083319,151.999661,3
265,2305,NSW,-28.96705987,151.8716845,3
266,2306,NSW,-29.083319,151.999661,3
267,2307,NSW,-29.083319,151.999661,3
268,2308,NSW,-29.05657437,152.2302973,3
269,2311,NSW,-29.083319,151.999661,3
270,2312,NSW,-31.126265,149.754627,3
271,2315,NSW,-31.18757986,149.7614891,3
272,2316,NSW,-31.046117,150.199154,3
273,2317,NSW,-31.046117,150.199154,3
274,2318,NSW,-31.046117,150.199154,3
275,2319,NSW,-31.046117,150.199154,3
276,2320,NSW,-31.046117,150.199154,3
277,2321,NSW,-31.046117,150.199154,3
278,2322,NSW,-31.046117,150.199154,3
279,2323,NSW,-31.046117,150.199154,3
280,2324,NSW,-31.046117,150.199154,3
281,2325,NSW,-31.046117,150.199154,3
282,2326,NSW,-31.046117,150.199154,3
283,2327,NSW,-31.046117,150.199154,3
284,2328,NSW,-31.046117,150.199154,3
285,2329,NSW,-31.046117,150.199154,3
286,2330,NSW,-31.046117,150.199154,3
287,2331,NSW,-31.244175,150.457901,3
288,2333,NSW,-31.244175,150.457901,3
289,2334,NSW,-31.244175,150.457901,3
290,2335,NSW,-31.244175,150.457901,3
291,2336,NSW,-31.244175,150.457901,3
292,2337,NSW,-30.595044,150.17806,3
293,2338,NSW,-30.595044,150.17806,3
294,2339,NSW,-30.595044,150.17806,3
295,2340,NSW,-30.595044,150.17806,3
296,2341,NSW,-30.07897,148.924417,4
297,2342,NSW,-30.07897,148.924417,4
298,2343,NSW,-30.01165066,149.1501936,4
299,2344,NSW,-29.79568858,149.1822101,4
300,2345,NSW,-29.757915,148.837106,4
301,2346,NSW,-30.427329,149.001543,4
302,2347,NSW,-30.427329,149.001543,4
303,2350,NSW,-30.427329,149.001543,4
304,2352,NSW,-30.427329,149.001543,3
305,2353,NSW,-30.427329,149.001543,3
306,2354,NSW,-30.427329,149.001543,3
307,2355,NSW,-30.413331,149.767538,3
308,2356,NSW,-30.11226482,150.27558,3
309,2357,NSW,-29.96557013,150.1146539,3
310,2358,NSW,-30.413331,149.767538,3
311,2359,NSW,-30.413331,149.767538,3
312,2360,NSW,-30.413331,149.767538,3
313,2361,NSW,-30.413331,149.767538,3
314,2365,NSW,-30.413331,149.767538,3
315,2369,NSW,-30.413331,149.767538,3
316,2370,NSW,-30.413331,149.767538,3
317,2371,NSW,-31.584172,149.440922,3
318,2372,NSW,-31.54621044,149.4787008,3
319,2379,NSW,-29.86779202,149.4666001,4
320,2380,NSW,-29.925739,149.690988,4
321,2381,NSW,-29.925739,149.690988,4
322,2382,NSW,-29.741061,149.795738,3
323,2386,NSW,-29.474921,149.462148,3
