,Postcode,State,Latitude,Longitude,Remoteness Area
0,800,NT,-12.458684,130.83668,1
1,810,NT,-12.381806,130.866242,1
2,812,NT,-12.39124885,130.89047,1
3,820,NT,-12.428017,130.873315,1
4,822,NT,-13.643283,136.947051,1
5,828,NT,-12.432024,130.932068,4
6,829,NT,-12.45763297,130.9597671,1
7,830,NT,-12.52139649,130.9580765,1
8,832,NT,-12.49684676,130.9936551,1
9,834,NT,-12.54686461,131.0234875,1
10,835,NT,-12.5231,131.0415,1
11,836,NT,-12.557754,131.100668,1
12,837,NT,-12.704767,131.016647,1
13,838,NT,-12.71878122,131.0067348,1
14,839,NT,-12.52001124,131.0402017,1
15,840,NT,-12.72451307,130.3529386,1
16,841,NT,-12.81922863,130.969862,1
17,845,NT,-13.045118,131.038475,1
18,846,NT,-13.210299,131.095002,1
19,847,NT,-14.012122,131.759154,1
20,850,NT,-14.46369137,132.1721041,1
21,852,NT,-16.07839,134.3769898,1
22,853,NT,-14.53113365,132.3791217,1
23,854,NT,-16.503809,136.424191,1
24,860,NT,-19.641301,134.173599,1
25,862,NT,-18.251528,134.463153,1
26,870,NT,-23.702291,133.86314,1
27,872,NT,-21.949513,131.298809,1
28,873,NT,-23.76846799,133.9306532,1
29,874,NT,-23.64690294,133.8647591,1
30,875,NT,-23.71350386,133.8354205,1
31,880,NT,-12.50557433,135.7954286,1
32,885,NT,-13.85078586,136.420066,1
33,886,NT,-13.13118,132.563373,1
34,2000,NSW,-33.86051951,151.2015802,3
35,2007,NSW,-33.883189,151.19665,3
36,2008,NSW,-33.891146,151.193858,2
37,2009,NSW,-33.871222,151.193055,3
38,2010,NSW,-33.884119,151.212262,2
39,2011,NSW,-33.873599,151.221626,3
40,2015,NSW,-33.910105,151.194825,2
41,2016,NSW,-33.894912,151.206211,3
42,2017,NSW,-33.903892,151.206316,2
43,2018,NSW,-33.9233,151.202697,3
44,2019,NSW,-33.946923,151.207285,3
45,2020,NSW,-33.936179,151.176775,2
46,2021,NSW,-33.895705,151.227236,3
47,2022,NSW,-33.896401,151.245049,2
48,2023,NSW,-33.884685,151.25591,3
49,2024,NSW,-33.904414,151.259392,2
50,2025,NSW,-33.88871,151.240508,2
51,2026,NSW,-33.891041,151.268968,2
52,2027,NSW,-33.868972,151.250494,2
53,2028,NSW,-33.878413,151.240965,2
54,2029,NSW,-33.875709,151.266989,3
55,2030,NSW,-33.858378,151.275977,3
56,2031,NSW,-33.914832,151.239167,2
57,2032,NSW,-33.930314,151.223936,2
58,2033,NSW,-33.91139,151.218435,3
59,2034,NSW,-33.929096,151.252171,2
60,2035,NSW,-33.945635,151.241292,2
61,2036,NSW,-33.969624,151.237844,2
62,2037,NSW,-33.880179,151.184458,2
63,2038,NSW,-33.881624,151.170165,3
64,2039,NSW,-33.867187,151.171915,2
65,2040,NSW,-33.878774,151.156819,2
66,2041,NSW,-33.858556,151.180095,3
67,2042,NSW,-33.900649,151.175354,2
68,2043,NSW,-33.903521,151.184665,2
69,2044,NSW,-33.920698,151.17074,3
70,2045,NSW,-33.879301,151.138684,3
71,2046,NSW,-33.866044,151.133865,3
72,2047,NSW,-33.853924,151.165735,3
73,2048,NSW,-33.89418,151.16564,3
74,2049,NSW,-33.897219,151.15085,3
75,2050,NSW,-33.89037,151.17598,3
76,2060,NSW,-33.839863,151.204557,3
77,2061,NSW,-33.848785,151.212372,3
78,2062,NSW,-33.822837,151.21246,3
79,2063,NSW,-33.812636,151.214797,2
80,2064,NSW,-33.813209,151.183801,3
81,2065,NSW,-33.828361,151.192212,3
82,2066,NSW,-33.818641,151.160912,3
83,2067,NSW,-33.798378,151.17711,3
