DATAFLOW,SEXP: Sex,LTHP: Type of long-term health condition,AGEP: Age,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3188: 3188,POA: Postal Areas,2: Victoria,2021,1422
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6640: 6640,POA: Postal Areas,5: Western Australia,2021,18
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2429: 2429,POA: Postal Areas,1: New South Wales,2021,1131
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3523: 3523,POA: Postal Areas,2: Victoria,2021,463
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5251: 5251,POA: Postal Areas,4: South Australia,2021,2156
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2117: 2117,POA: Postal Areas,1: New South Wales,2021,1361
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2291: 2291,POA: Postal Areas,1: New South Wales,2021,1264
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3356: 3356,POA: Postal Areas,2: Victoria,2021,2550
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,5560: 5560,POA: Postal Areas,4: South Australia,2021,44
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4077: 4077,POA: Postal Areas,3: Queensland,2021,2632
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6397: 6397,POA: Postal Areas,5: Western Australia,2021,8
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4560: 4560,POA: Postal Areas,3: Queensland,2021,4249
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2768: 2768,POA: Postal Areas,1: New South Wales,2021,1397
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3725: 3725,POA: Postal Areas,2: Victoria,2021,74
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3563: 3563,POA: Postal Areas,2: Victoria,2021,109
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,3875: 3875,POA: Postal Areas,2: Victoria,2021,2172
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,6214: 6214,POA: Postal Areas,5: Western Australia,2021,54
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,4343: 4343,POA: Postal Areas,3: Queensland,2021,1268
ABS:C21_G19_POA(1.0.0),3: Persons,91: Mental health condition (including depression or anxiety),_T: Total,2614: 2614,POA: Postal Areas,8: Australian Capital Territory,2021,2197
