Postcode,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household,People with Mental Health Conditions,Total People,State
800,33,6,5876,4,172,1856,3749,2805,168,12,6,2874,1181,395,134,3420,910,344,7149,7: Northern Territory
810,14828,2642,5649,85,207,1768,8552,9360,5484,1260,311,6553,8881,2893,425,6996,1737,1971,34330,7: Northern Territory
812,9601,1127,1549,134,67,448,3389,6590,2353,543,95,3237,4486,2032,204,3249,592,1076,18634,7: Northern Territory
820,4926,3337,6733,104,167,1463,7566,7580,2372,592,168,5792,4755,1644,220,5987,1843,1112,19920,7: Northern Territory
822,9415,655,168,348,216,873,3083,4392,1811,344,183,2456,4369,1989,404,1921,268,755,25304,7: Northern Territory
828,502,241,11,63,22,84,74,486,167,32,28,252,379,101,26,193,42,73,1697,7: Northern Territory
829,61,0,0,136,32,90,12,36,29,10,0,103,44,11,0,119,0,18,1963,7: Northern Territory
830,9542,905,1888,16,25,805,2765,6391,2944,436,90,3080,4275,2193,157,3537,566,1302,18501,7: Northern Territory
832,9143,1409,1687,0,22,247,2404,6015,4406,444,52,3037,5361,1889,133,2748,604,1203,18727,7: Northern Territory
834,1110,0,3,47,21,81,130,427,295,138,36,369,436,108,10,227,44,110,1811,7: Northern Territory
835,1918,20,3,65,31,131,221,693,646,178,74,667,789,168,12,340,70,177,3153,7: Northern Territory
836,4605,86,9,12,40,258,792,1782,1205,388,182,1392,1950,467,27,791,155,430,7597,7: Northern Territory
837,260,0,0,27,23,33,60,83,60,16,0,82,72,39,0,101,0,29,489,7: Northern Territory
838,493,5,0,29,7,68,80,218,104,26,14,164,204,44,0,125,6,45,870,7: Northern Territory
839,43,96,207,70,19,131,243,122,51,0,0,161,75,76,8,267,14,25,510,7: Northern Territory
840,347,0,0,23,19,96,134,79,26,0,0,183,29,16,0,142,16,31,457,7: Northern Territory
841,425,0,0,3,21,58,92,141,88,10,10,130,114,28,12,143,18,44,627,7: Northern Territory
845,227,41,6,3,0,34,94,138,14,0,0,50,26,43,0,143,21,25,396,7: Northern Territory
846,174,0,0,36,14,44,45,66,23,6,8,82,30,15,0,73,18,12,317,7: Northern Territory
847,141,15,6,22,4,30,39,84,16,10,9,28,44,26,0,80,14,7,318,7: Northern Territory
850,3665,858,105,136,74,557,1014,2374,881,166,48,1389,1468,672,73,1479,333,408,7873,7: Northern Territory
852,2381,292,74,269,121,375,735,1484,377,90,52,701,1250,587,98,747,101,269,8735,7: Northern Territory
853,403,0,0,0,0,0,0,286,112,8,0,140,224,10,0,36,0,34,850,7: Northern Territory
854,281,34,6,53,19,37,136,144,46,0,0,79,131,83,10,95,5,18,755,7: Northern Territory
860,1520,212,101,37,22,336,414,965,202,16,6,397,468,280,50,782,94,115,3080,7: Northern Territory
862,243,3,0,36,8,26,50,113,62,22,6,77,81,54,0,82,0,23,715,7: Northern Territory
870,9033,4167,509,145,162,1530,4553,6466,2725,482,106,3884,4623,1951,232,4772,994,1253,20341,7: Northern Territory
872,5164,663,249,219,155,1198,1380,3006,772,90,45,1275,2144,1122,268,2058,120,330,14676,7: Northern Territory
873,1167,124,90,194,82,367,340,458,360,81,40,499,492,246,27,557,53,132,2756,7: Northern Territory
874,110,165,153,7,101,67,60,269,66,18,5,154,156,16,4,278,8,17,554,7: Northern Territory
875,1217,498,0,0,0,99,540,942,278,44,16,415,560,301,39,547,93,155,2482,7: Northern Territory
880,1979,191,99,22,0,182,432,1425,339,27,0,497,1056,284,38,528,61,189,4953,7: Northern Territory
885,362,36,18,0,0,3,133,303,6,0,0,120,203,15,0,119,6,20,751,7: Northern Territory
886,300,137,52,23,15,128,109,264,56,0,0,166,110,73,0,250,20,30,755,7: Northern Territory
2000,50,465,22291,33,1617,11443,16020,4182,364,47,39,11699,3150,1378,872,12074,5206,946,27936,1: New South Wales
2007,5,694,5104,14,325,2827,3503,1197,260,62,61,2385,918,451,223,3198,1582,420,7410,1: New South Wales
2008,77,1969,6902,81,1581,5261,4001,1602,691,135,69,3770,859,403,329,5863,2369,888,10400,1: New South Wales
2009,0,622,10462,4,194,3999,8526,3523,194,28,18,5524,2656,1149,242,5514,1612,724,12658,1: New South Wales
2010,249,6632,19139,148,2981,14919,13825,4950,1499,405,183,11399,2742,1229,374,19202,4301,2675,26443,1: New South Wales
2011,64,1896,17950,124,4492,12426,9559,2748,387,92,48,7557,1438,930,155,18292,1765,1872,18187,1: New South Wales
