Postcode,State
0800,7: Northern Territory
0810,7: Northern Territory
0812,7: Northern Territory
0820,7: Northern Territory
0822,7: Northern Territory
0828,7: Northern Territory
0829,7: Northern Territory
0830,7: Northern Territory
0832,7: Northern Territory
0834,7: Northern Territory
0835,7: Northern Territory
0836,7: Northern Territory
0837,7: Northern Territory
0838,7: Northern Territory
0839,7: Northern Territory
0840,7: Northern Territory
0841,7: Northern Territory
0845,7: Northern Territory
0846,7: Northern Territory
0847,7: Northern Territory
0850,7: Northern Territory
0852,7: Northern Territory
0853,7: Northern Territory
0854,7: Northern Territory
0860,7: Northern Territory
0862,7: Northern Territory
0870,7: Northern Territory
0872,7: Northern Territory
0873,7: Northern Territory
0874,7: Northern Territory
0875,7: Northern Territory
0880,7: Northern Territory
0885,7: Northern Territory
0886,7: Northern Territory
2000,1: New South Wales
2007,1: New South Wales
2008,1: New South Wales
2009,1: New South Wales
2010,1: New South Wales
2011,1: New South Wales
2015,1: New South Wales
2016,1: New South Wales
2017,1: New South Wales
2018,1: New South Wales
2019,1: New South Wales
2020,1: New South Wales
2021,1: New South Wales
2022,1: New South Wales
2023,1: New South Wales
2024,1: New South Wales
2025,1: New South Wales
2026,1: New South Wales
2027,1: New South Wales
2028,1: New South Wales
2029,1: New South Wales
2030,1: New South Wales
2031,1: New South Wales
2032,1: New South Wales
2033,1: New South Wales
2034,1: New South Wales
2035,1: New South Wales
2036,1: New South Wales
2037,1: New South Wales
2038,1: New South Wales
2039,1: New South Wales
2040,1: New South Wales
2041,1: New South Wales
2042,1: New South Wales
2043,1: New South Wales
2044,1: New South Wales
2045,1: New South Wales
2046,1: New South Wales
2047,1: New South Wales
2048,1: New South Wales
2049,1: New South Wales
2050,1: New South Wales
2060,1: New South Wales
2061,1: New South Wales
2062,1: New South Wales
2063,1: New South Wales
2064,1: New South Wales
2065,1: New South Wales
2066,1: New South Wales
2067,1: New South Wales
2068,1: New South Wales
2069,1: New South Wales
2070,1: New South Wales
2071,1: New South Wales
2072,1: New South Wales
2073,1: New South Wales
2074,1: New South Wales
2075,1: New South Wales
2076,1: New South Wales
2077,1: New South Wales
2079,1: New South Wales
2080,1: New South Wales
2081,1: New South Wales
2082,1: New South Wales
2083,1: New South Wales
2084,1: New South Wales
2085,1: New South Wales
2086,1: New South Wales
2087,1: New South Wales
2088,1: New South Wales
2089,1: New South Wales
2090,1: New South Wales
2092,1: New South Wales
2093,1: New South Wales
2094,1: New South Wales
2095,1: New South Wales
2096,1: New South Wales
2097,1: New South Wales
2099,1: New South Wales
2100,1: New South Wales
2101,1: New South Wales
2102,1: New South Wales
2103,1: New South Wales
2104,1: New South Wales
2105,1: New South Wales
2106,1: New South Wales
2107,1: New South Wales
2108,1: New South Wales
2110,1: New South Wales
2111,1: New South Wales
2112,1: New South Wales
2113,1: New South Wales
2114,1: New South Wales
2115,1: New South Wales
2116,1: New South Wales
2117,1: New South Wales
2118,1: New South Wales
2119,1: New South Wales
2120,1: New South Wales
2121,1: New South Wales
2122,1: New South Wales
2125,1: New South Wales
2126,1: New South Wales
2127,1: New South Wales
2128,1: New South Wales
2130,1: New South Wales
2131,1: New South Wales
2132,1: New South Wales
2133,1: New South Wales
2134,1: New South Wales
2135,1: New South Wales
2136,1: New South Wales
2137,1: New South Wales
2138,1: New South Wales
2140,1: New South Wales
2141,1: New South Wales
2142,1: New South Wales
2143,1: New South Wales
2144,1: New South Wales
2145,1: New South Wales
2146,1: New South Wales
2147,1: New South Wales
2148,1: New South Wales
2150,1: New South Wales
