DATAFLOW,SEXP: Sex,PCHAR: Selected person characteristic,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2711: 2711,POA: Postal Areas,1: New South Wales,2021,3197
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3289: 3289,POA: Postal Areas,2: Victoria,2021,804
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3659: 3659,POA: Postal Areas,2: Victoria,2021,748
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4205: 4205,POA: Postal Areas,3: Queensland,2021,6333
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4486: 4486,POA: Postal Areas,3: Queensland,2021,669
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4730: 4730,POA: Postal Areas,3: Queensland,2021,3177
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5421: 5421,POA: Postal Areas,4: South Australia,2021,135
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4000: 4000,POA: Postal Areas,3: Queensland,2021,20341
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3142: 3142,POA: Postal Areas,2: Victoria,2021,12817
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6012: 6012,POA: Postal Areas,5: Western Australia,2021,9169
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,7257: 7257,POA: Postal Areas,6: Tasmania,2021,64
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2191: 2191,POA: Postal Areas,1: New South Wales,2021,6555
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2557: 2557,POA: Postal Areas,1: New South Wales,2021,20103
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3266: 3266,POA: Postal Areas,2: Victoria,2021,3047
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6485: 6485,POA: Postal Areas,5: Western Australia,2021,447
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3805: 3805,POA: Postal Areas,2: Victoria,2021,58600
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5160: 5160,POA: Postal Areas,4: South Australia,2021,23
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2843: 2843,POA: Postal Areas,1: New South Wales,2021,1262
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3419: 3419,POA: Postal Areas,2: Victoria,2021,891
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6215: 6215,POA: Postal Areas,5: Western Australia,2021,4234
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,7015: 7015,POA: Postal Areas,6: Tasmania,2021,11290
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2118: 2118,POA: Postal Areas,1: New South Wales,2021,27888
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6398: 6398,POA: Postal Areas,5: Western Australia,2021,552
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3357: 3357,POA: Postal Areas,2: Victoria,2021,3797
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2526: 2526,POA: Postal Areas,1: New South Wales,2021,16736
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2785: 2785,POA: Postal Areas,1: New South Wales,2021,4822
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4122: 4122,POA: Postal Areas,3: Queensland,2021,47147
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5734: 5734,POA: Postal Areas,4: South Australia,2021,114
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2797: 2797,POA: Postal Areas,1: New South Wales,2021,434
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3564: 3564,POA: Postal Areas,2: Victoria,2021,17080
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4113: 4113,POA: Postal Areas,3: Queensland,2021,29524
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2358: 2358,POA: Postal Areas,1: New South Wales,2021,3727
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4374: 4374,POA: Postal Areas,3: Queensland,2021,402
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5082: 5082,POA: Postal Areas,4: South Australia,2021,16310
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3992: 3992,POA: Postal Areas,2: Victoria,2021,1281
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4361: 4361,POA: Postal Areas,3: Queensland,2021,2654
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5252: 5252,POA: Postal Areas,4: South Australia,2021,6783
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,7304: 7304,POA: Postal Areas,6: Tasmania,2021,6265
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2615: 2615,POA: Postal Areas,8: Australian Capital Territory,2021,47356
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2421: 2421,POA: Postal Areas,1: New South Wales,2021,2069
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3714: 3714,POA: Postal Areas,2: Victoria,2021,3749
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4408: 4408,POA: Postal Areas,3: Queensland,2021,538
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5523: 5523,POA: Postal Areas,4: South Australia,2021,1944
